"Name","Service->Name","Status","Request type","Service->Provider","Description"
"Case Not processing error","Application- Related-CGRMS","production","service request",1,"this is Case Not processing error related"
"Case Not processing error","Application- Related-IMPACT","production","service request",1,"This is Case Not processing error related"
"Case Not processing error","Application- Related-TMS","production","service request",1,"This is an Case Not processing error related"
"Claim Related issues","Hospitalisation- Related-HEM","production","service request",1,"This is Claim Related issues related"
"Claim Related issues","Hospitalisation- Related-CGRMS","production","service request",1,"This is Claim Related issues related"
"Claim Related issues","Hospitalisation- Related-TMS","production","service request",1,"This is Claim Related issues"
"Discharge Related Issues","Hospitalisation- Related-HEM","production","service request",1,"This is Discharge Related Issues related"
"Discharge Related Issues","Hospitalisation- Related-CGRMS","production","service request",1,"This is Discharge Related Issues related"
"Discharge Related Issues","Hospitalisation- Related-TMS","production","service request",1,"This is Discharge Related Issues"
"Document updation (PMJAY Card, Pancard , Ration Card)","Personal Information - Related-CGRMS","production","service request",1,"Thsi si Document updation (PMJAY Card, Pancard , Ration Card) realated"
"Document updation (PMJAY Card, Pancard , Ration Card)","Personal Information - Related-IMPACT","production","service request",1,"This is Document updation (PMJAY Card, Pancard , Ration Card) related"
"Document updation (PMJAY Card, Pancard , Ration Card)","Personal Information - Related-BIS","production","service request",1,"Document updation (PMJAY Card, Pancard , Ration Card)"
"Document updation (PMJAY Card, Pancard , Ration Card)","Personal Information - Related-HEM","production","service request",1,"This is Document updation (PMJAY Card, Pancard , Ration Card) related"
"Document updation (PMJAY Card, Pancard , Ration Card)","Personal Information - Related-TMS","production","service request",1,"This is Document updation (PMJAY Card, Pancard , Ration Card) related"
"Empanelment Issues","Hospitalisation- Related-CGRMS","production","service request",1,"This is Empanelment Issues related"
"Empanelment Issues","Hospitalisation- Related-TMS","production","service request",1,"This is Empanelment Issues"
"Empanelment Issues","Hospitalisation- Related-HEM","production","service request",1,"This is Empanelment Issues related"
"Income Certificate Download issues","Application- Related-IMPACT","production","service request",1,"THis is Income Certificate Download issues related"
"Income Certificate Download issues","Application- Related-BIS","production","service request",1,"This is an Income Certificate Download issues"
"Income Certificate Download issues","Application- Related-CGRMS","production","service request",1,"This is Income Certificate Download issues related"
"Income Certificate Download issues","Application- Related-TMS","production","service request",1,"This is an Income Certificate Download issues related"
"Income Certificate Download issues","Application- Related - HEM","production","service request",1,"This is an Income Certificate Download issues related"
"Login Issues ( ACO , MEDCO , SHA etc)","User ID- Related-BIS","production","service request",1,"This is an login issues related"
"Login Issues ( ACO , MEDCO , SHA etc)","User ID- Related-IMPACT","production","service request",1,"This is Login Issues ( ACO , MEDCO , SHA etc) related"
"Login Issues ( ACO , MEDCO , SHA etc)","User ID- Related-CGRMS","production","service request",1,"This is Login Issues ( ACO , MEDCO , SHA etc) related"
"Login Issues ( ACO , MEDCO , SHA etc)","User ID- Related-TMS","production","service request",1,"This is Login Issues ( ACO , MEDCO , SHA etc) related"
"Login Issues ( ACO , MEDCO , SHA etc)","User ID- Related-HEM","production","service request",1,"This is Login Issues ( ACO , MEDCO , SHA etc) related"
"Member Addition","Hospitalisation- Related-CGRMS","production","service request",1,"This is Member Addition related"
"Member Addition","Hospitalisation- Related-TMS","production","service request",1,"This is Member Addition related"
"Member Addition","Hospitalisation- Related-HEM","production","service request",1,"Member Addition"
"Mobile No Updation","Personal Information - Related-HEM","production","service request",1,"Thus is  Mobile No Updation related"
"Mobile No Updation","Personal Information - Related-CGRMS","production","service request",1,"This is Mobile No Updation related"
"Mobile No Updation","Personal Information - Related-IMPACT","production","service request",1,"This is Mobile No Updation related"
"Mobile No Updation","Personal Information - Related-BIS","production","service request",1,"This is Mobile No Updation related"
"Mobile No Updation","Personal Information - Related-TMS","production","service request",1,"This is Mobile No Updation reelated"
"Others","Others-IMPACT","production","service request",1,"Thiis is Others related"
"Others","Others-CGRMS","production","service request",1,"This i sOthers related"
"Others","Others-HEM","production","service request",1,"This is an Others related"
"Others","Others-BIS","production","service request",1,"This is an others related"
"Others","Others-TMS","production","service request",1,"This is Others related"
"OTP Issues","Personal Information - Related-TMS","production","service request",1,"This is an OTP Issues related"
"OTP Issues","Personal Information - Related-IMPACT","production","service request",1,"This is OTP Issues related"
"OTP Issues","Personal Information - Related-BIS","production","service request",1,"This is an OTP Issues related"
"OTP Issues","Personal Information - Related-CGRMS","production","service request",1,"This is OTP Issues related"
"OTP Issues","Personal Information - Related-HEM","production","service request",1,"This is OTP Issues related"
"Package and Payment Issues","Hospitalisation- Related-HEM","production","service request",1,"THis is Package and Payment Issues related"
"Package and Payment Issues","Hospitalisation- Related-TMS","production","service request",1,"This is Package and Payment Issues related"
"Package and Payment Issues","Hospitalisation- Related-CGRMS","production","service request",1,"This is Package and Payment Issues"
"Password Reset / Change Issues","User ID- Related-HEM","production","service request",1,"This is Password Reset / Change Issues related"
"Password Reset / Change Issues","User ID- Related-BIS","","service request",1,"This is Password Reset / Change Issues related"
"Password Reset / Change Issues","User ID- Related-TMS","production","service request",1,"This is Password Reset / Change Issues related"
"Password Reset / Change Issues","User ID- Related-CGRMS","production","service request",1,"This is Password Reset / Change Issues related"
"Password Reset / Change Issues","User ID- Related-IMPACT","production","service request",1,"This is Password Reset / Change Issues related"
"Preauthorization Issues","Hospitalisation- Related-HEM","production","service request",1,"This is Preauthorization Issues related"
"Preauthorization Issues","Hospitalisation- Related-TMS","production","service request",1,"This is Preauthorization Issues related"
"Preauthorization Issues","Hospitalisation- Related-CGRMS","production","service request",1,"This is Preauthorization Issues relatedPreauthorization Issues"
"Software Slowness / Portal Issues","Application- Related-IMPACT","production","service request",1,"This is Software Slowness / Portal Issues  related"
"Software Slowness / Portal Issues","Application- Related-TMS","production","service request",1,"This isSoftware Slowness / Portal Issues  related"
"Software Slowness / Portal Issues","Application- Related-BIS","production","service request",1,"This is an Software Slowness / Portal Issues"
"Software Slowness / Portal Issues","Application- Related - HEM","production","service request",1,"This is Software Slowness / Portal Issues  related"
"Software Slowness / Portal Issues","Application- Related-CGRMS","production","service request",1,"This is Software Slowness / Portal Issues  related"
"User Id Activation / Deativation","User ID- Related-CGRMS","production","service request",1,"This is User Id Activation / Deativation related"
"User Id Activation / Deativation","User ID- Related-TMS","production","service request",1,"This is an User Id Activation / Deativation related"
"User Id Activation / Deativation","User ID- Related-IMPACT","production","service request",1,"This is User Id Activation / Deativation related"
"User Id Activation / Deativation","User ID- Related-BIS","production","service request",1,"THis is User Id Activation / Deativation related"
"User Id Activation / Deativation","User ID- Related-HEM","production","service request",1,"This is User Id Activation / Deativation related"
"User Id Creation","User ID- Related-IMPACT","production","service request",1,"This is User Id Creation related"
"User Id Creation","User ID- Related-BIS","production","service request",1,"User Id Creation"
"User Id Creation","User ID- Related-CGRMS","production","service request",1,"This is User Id Creation related"
"User Id Creation","User ID- Related-TMS","production","service request",1,"This is an User Id Creation"
"User Id Creation","User ID- Related-HEM","production","service request",1,"This is User Id Creation related"
